place,pincode,district
Srimushnam,608704,Cuddalore
Tittakudi,606106,Cuddalore
Tondi,606206,Cuddalore
Ulundurpet,606107,Cuddalore
Virudhachalam,606001,Cuddalore
Adhiyamankottai,636813,Dharmapuri
Alangayam,635701,Dharmapuri
Ambalur,635105,Dharmapuri
Athimugam,636902,Dharmapuri
Bommidi,635301,Dharmapuri
Chengappalli,635121,Dharmapuri
Dharmapuri,636705,Dharmapuri
Elathagiri,635205,Dharmapuri
Gangavalli,636105,Dharmapuri
Harur,636903,Dharmapuri
Hogenakkal,636810,Dharmapuri
Jagadevi,636809,Dharmapuri
Kambainallur,635207,Dharmapuri
Karimangalam,635205,Dharmapuri
Konavattam,635205,Dharmapuri
Kothapeta,635103,Dharmapuri
Krishnagiri,635001,Dharmapuri
Marandahalli,636902,Dharmapuri
Mathigiri,635110,Dharmapuri
Mecheri,636453,Dharmapuri
Nallampalli,636807,Dharmapuri
Nallipallikuppam,636812,Dharmapuri
Nathamedu,636812,Dharmapuri
Palacode,636808,Dharmapuri
Pennagaram,636810,Dharmapuri
Pochampalli,635207,Dharmapuri
Rayakottah,635116,Dharmapuri
Reddiapatti,635111,Dharmapuri
Seerapadi,636905,Dharmapuri
Sellanatham,635202,Dharmapuri
Sirumugai,636811,Dharmapuri
Soolagiri,635117,Dharmapuri
Thalavaipatti,636905,Dharmapuri
Thimmapuram,635108,Dharmapuri
Thoppur,636809,Dharmapuri
V.Pudur,635108,Dharmapuri
Vadamadurai,636808,Dharmapuri
Vairavanatham,635105,Dharmapuri
Varadarajapuram,635105,Dharmapuri
Veerapandi,636905,Dharmapuri
Vellaiyur,635107,Dharmapuri
Vempalli,635207,Dharmapuri
Velapadi,635109,Dharmapuri
Vempalli,635207,Dharmapuri
Batlagundu,624202,Dindigul
Begambur,624001,Dindigul
Chinnalapatti,624301,Dindigul
Dindigul,624001,Dindigul
Gujiliamparai,624302,Dindigul
Kalathupatti,624612,Dindigul
Kodai Road,624206,Dindigul
Kodaikanal,624101,Dindigul
Kottur,624202,Dindigul
Koyilandy,624302,Dindigul
Mangalrevu,624102,Dindigul
Mappillaiyurani,624203,Dindigul
Natham,624401,Dindigul
Nilakottai,624208,Dindigul
Palani,624601,Dindigul
Pannaipuram,624201,Dindigul
Periyakulam,625601,Dindigul
R.M. Colony,624101,Dindigul
Sevugampatti,624211,Dindigul
Soolamalai,624701,Dindigul
Thadikombu,624709,Dindigul
Thadicombu,624709,Dindigul
Thadicombu Colony,624709,Dindigul
Thindal,624009,Dindigul
Thirumalapuram,624612,Dindigul
Thoppampatti,624204,Dindigul
Vedasandur,624710,Dindigul
Vedasandur,624710,Dindigul
Vengapatti,624617,Dindigul
Vilangudi,624202,Dindigul
Vilpatti,624201,Dindigul
Virapandi,624303,Dindigul
Virapandi,624303,Dindigul
Virudhunagar,626001,Dindigul
Vedasandur,624710,Dindigul
Andipalayam,638459,Erode
Anthiyur,638501,Erode
Appakudal,638315,Erode
Arachalur,638101,Erode
Avalpoondurai,638115,Erode
Bhavani,638301,Erode
Chennimalai,638051,Erode
Chengappalli,638056,Erode
Chettipalayam,638056,Erode
Chinnakoundampalayam,638057,Erode
Chithode,638102,Erode
Elavamalai,638312,Erode
Gobichettipalayam,638476,Erode
Jambai,638312,Erode
Karungalpalayam,638003,Erode
Kavindapadi,638455,Erode
Ketti Palayam,638457,Erode
Kodumudi,638151,Erode
Kollampalayam,638002,Erode
Komarapalayam,638183,Erode
Kunnathur,638103,Erode
Lakkampatti,638401,Erode
Lakkapuram,638101,Erode
Mallur,638101,Erode
Modakurichi,638104,Erode
Nambiyur,638458,Erode
Nathakadaiyur,638051,Erode
Nasiyanur,638106,Erode
Odayakulam,638451,Erode
Pallapalayam,638107,Erode
Pasur,638108,Erode
Perundurai,638052,Erode
Periyasemur,638011,Erode
Perundurai,638052,Erode
Pudupalayam,638103,Erode
Punjai Puliampatti,638459,Erode
Rasipuram,637408,Erode
Sathyamangalam,638402,Erode
Sivagiri,638109,Erode
Sivamalai,638051,Erode
Suriyampalayam,638107,Erode
Thindal,638012,Erode
Thirumuruganpoondi,638108,Erode
Thuckanaickenpalayam,638505,Erode
Udumalpet,642126,Erode
Vairapalayam,638107,Erode
Veerappanchatram,638104,Erode
Velampalayam,638052,Erode
Vijayamangalam,638056,Erode
Vijayapuri,638056,Erode
Vilankurichi,638056,Erode
Yellapuram,638105,Erode
Alampoondi,606208,Kallakurichi
Ammapattinam,606201,Kallakurichi
Athipakkam,606206,Kallakurichi
Chinnasalem,606201,Kallakurichi
Elavanasur,606201,Kallakurichi
Gangavalli,636105,Kallakurichi
Kalrayan Hills,606206,Kallakurichi
Kalvarayan Hills,606208,Kallakurichi
Keelathiruthangal,606202,Kallakurichi
Kodaikanal,624101,Kallakurichi
Marudhur,606209,Kallakurichi
Melnariyappanoor,606207,Kallakurichi
Murukkampattu,606206,Kallakurichi
Parangipettai,608502,Kallakurichi
Pudupalayam,606208,Kallakurichi
Rajapalayam,626117,Kallakurichi
Sethiathoppu,608102,Kallakurichi
Sethiathoppu,608102,Kallakurichi
Siruvalur,606206,Kallakurichi
T.Vadipatti,606206,Kallakurichi
Uthangarai,636902,Kallakurichi
Uthangarai,636902,Kallakurichi
Uthangarai,636902,Kallakurichi
Uthangarai,636902,Kallakurichi
V.Kalathur,606204,Kallakurichi
V.Pudur,636902,Kallakurichi
V.Pudur,636902,Kallakurichi
Vadalur,607303,Kallakurichi
Veeranam,606202,Kallakurichi
Veerapandi,606207,Kallakurichi
Vellapadi,606204,Kallakurichi
Vellapadi,606204,Kallakurichi
Vengikkal,606203,Kallakurichi
Vikravandi,607303,Kallakurichi
Vilantham,606206,Kallakurichi
Vilathikulam,628907,Kallakurichi
Villupuram,605602,Kallakurichi
Viraganur,606207,Kallakurichi
Vriddhachalam,606001,Kallakurichi
Yercaud,636601,Kallakurichi
Vriddhachalam,606001,Kallakurichi
Yercaud,636601,Kallakurichi
Acharapakkam,603301,Kanchipuram
Alandur,600016,Kanchipuram
Amarambedu,602024,Kanchipuram
Anakaputhur,600070,Kanchipuram
Ayyampettai,602025,Kanchipuram
Chitlapakkam,600064,Kanchipuram
Edaikazhinadu,631701,Kanchipuram
Gowrivakkam,600073,Kanchipuram
Irungattukottai,602105,Kanchipuram
Kanchipuram,631501,Kanchipuram
Kundrathur,600069,Kanchipuram
Madharpakkam,631701,Kanchipuram
Mamandur,631604,Kanchipuram
Mangadu,600122,Kanchipuram
Minjur,601203,Kanchipuram
Nandambakkam,600089,Kanchipuram
Padappai,601301,Kanchipuram
Padur,603103,Kanchipuram
Pallaavaram,600043,Kanchipuram
Pallikaranai,600100,Kanchipuram
Pappanchatram,602106,Kanchipuram
Perungalathur,600063,Kanchipuram
Poonamallee,600056,Kanchipuram
Porur,600116,Kanchipuram
Thalambur,600130,Kanchipuram
Thirunindravur,602024,Kanchipuram
Thiruvanmiyur,600041,Kanchipuram
Thoraipakkam,600097,Kanchipuram
Tiruporur,603110,Kanchipuram
Urapakkam,603211,Kanchipuram
Vandalur,600048,Kanchipuram
Vembakkam,603111,Kanchipuram
Villivakkam,600049,Kanchipuram
Vyasarpadi,600039,Kanchipuram
Walajabad,631605,Kanchipuram
Washermanpet,600021,Kanchipuram
West Mambalam,600033,Kanchipuram
Karur,639001,Karur
Aravakurichi,639201,Karur
Kulithalai,639104,Karur
Inam Karur,639002,Karur
Mayanur,639005,Karur
Krishnarayapuram,639103,Karur
Puliyur,639114,Karur
Thanthoni,639005,Karur
Pugalur,639113,Karur
Pallapatti,639207,Karur
Thogaimalai,639115,Karur
Thanthonimalai,639005,Karur
Vangal,639004,Karur
Vellianai,639110,Karur
Velur,639114,Karur
Vengamedu,639117,Karur
K. Paramathi,639114,Karur
Pullampadi,639113,Karur
Puthambur,639115,Karur
T. N. Palayam,639115,Karur
Tharagampatti,639117,Karur
Moolapalayam,639118,Karur
Kombur,639111,Karur
R.Komarapalayam,639118,Karur
Mohanur,639115,Karur
Kottapalayam,639111,Karur
Sengunthapuram,639117,Karur
Gugai,639117,Karur
Kalangani,639004,Karur
Uppidamangalam,639114,Karur
Krishnagiri,635001,Krishnagiri
Hosur,635109,Krishnagiri
Denkanikottai,635107,Krishnagiri
Thally,635118,Krishnagiri
Kelamangalam,635113,Krishnagiri
Marandahalli,635113,Krishnagiri
Rayakottai,635116,Krishnagiri
Bargur,635104,Krishnagiri
Veppanahalli,635112,Krishnagiri
Anchetti,635108,Krishnagiri
Kuppam,635116,Krishnagiri
Singarapettai,635127,Krishnagiri
Thiruppattur,635853,Krishnagiri
Bargur,635104,Krishnagiri
Anchetty,635108,Krishnagiri
Bagalur,635103,Krishnagiri
Berigai,635103,Krishnagiri
Kelamangalam,635113,Krishnagiri
Marandahalli,635113,Krishnagiri
Madurai,625001,Madurai
Thirumangalam,625706,Madurai
Usilampatti,625532,Madurai
Melur,625106,Madurai
Tirumangalam,625706,Madurai
Sholavandan,625214,Madurai
Vadipatti,625218,Madurai
T.Kallupatti,625702,Madurai
Samayanallur,625503,Madurai
Thiruparankundram,625005,Madurai
Chellampatti,625515,Madurai
Alanganallur,625501,Madurai
Othakadai,625107,Madurai
T.Kallupatti,625702,Madurai
Samayanallur,625503,Madurai
T.Pudupatti,625706,Madurai
Palamedu,625503,Madurai
Sedapatti,625703,Madurai
Vilangudi,625018,Madurai
Sakkimangalam,625708,Madurai
Sivarakottai,625109,Madurai
Vadipatti,625218,Madurai
T.Kallupatti,625702,Madurai
Nagapattinam,611001,Nagapattinam
Velankanni,611111,Nagapattinam
Mayiladuthurai,609001,Nagapattinam
Sirkali,609110,Nagapattinam
Vedaranyam,614810,Nagapattinam
Thirukkuvalai,609804,Nagapattinam
Thirupoondi,614714,Nagapattinam
Kuthalam,609806,Nagapattinam
Keelaiyur,609301,Nagapattinam
Kilvelur,609107,Nagapattinam
Kuthalam,609806,Nagapattinam
Melakaveri,609207,Nagapattinam
Mayiladuthurai,609001,Nagapattinam
Nagore,611002,Nagapattinam
Nannilam,609307,Nagapattinam
Thalainayar,609809,Nagapattinam
Thalaignayiru,609810,Nagapattinam
Thirupoondi,614714,Nagapattinam
Thirumullaivasal,609502,Nagapattinam
Thirumarugal,609208,Nagapattinam
Thirunallar,609607,Nagapattinam
Thirupoondi,614714,Nagapattinam
Vedaranyam,614810,Nagapattinam
Thirukkuvalai,609804,Nagapattinam
Thirupoondi,614714,Nagapattinam
Keezhaiyur,609306,Nagapattinam
Keelaiyur,609301,Nagapattinam
Melakaveri,609207,Nagapattinam
Kollidam,614713,Nagapattinam
Porayar,609307,Nagapattinam
Manjakollai,609307,Nagapattinam
Kattumannarkoil,608301,Nagapattinam
Melaiyur,609304,Nagapattinam
Thirunageswaram,612204,Nagapattinam
Thiruvarur,610001,Nagapattinam
Thiruthuraipoondi,614713,Nagapattinam
Namakkal,637001,Namakkal
Rasipuram,637408,Namakkal
Paramathi Velur,637207,Namakkal
Velur,637208,Namakkal
Mohanur,637015,Namakkal
Namagiripettai,637406,Namakkal
Thiruchengode,637211,Namakkal
Sendamangalam,637409,Namakkal
Erumapatti,637003,Namakkal
Kabilarmalai,637415,Namakkal
Ooty,643001,Nilgiris
Coonoor,643102,Nilgiris
Gudalur,643212,Nilgiris
Ketti,643215,Nilgiris
Lovedale,643003,Nilgiris
Aruvankadu,643202,Nilgiris
Kotagiri,643217,Nilgiris
Upper Bhavani,643217,Nilgiris
Kattabettu,643214,Nilgiris
Perambalur,621212,Perambalur
Veppanthattai,621116,Perambalur
Alathur,621808,Perambalur
Kunnam,621118,Perambalur
Poolambadi,621115,Perambalur
Veeraganur,621212,Perambalur
Pallapuram,621712,Perambalur
Koothur,621114,Perambalur
Alagapuram,621108,Perambalur
Marambadi,621718,Perambalur
Pudukkottai,622001,Pudukkottai
Aranthangi,614616,Pudukkottai
Ponnamaravathi,622407,Pudukkottai
Thirumayam,622507,Pudukkottai
Viralimalai,621312,Pudukkottai
Alangudi,622303,Pudukkottai
Keeramangalam,622502,Pudukkottai
Annavasal,622101,Pudukkottai
Karambakudi,622302,Pudukkottai
Ramanathapuram,623501,Ramanathapuram
Paramakudi,623707,Ramanathapuram
Kamuthi,623603,Ramanathapuram
Mudukulathur,623704,Ramanathapuram
Rameswaram,623526,Ramanathapuram
Kadaladi,623402,Ramanathapuram
Tiruvadanai,623407,Ramanathapuram
Nainarkoil,623503,Ramanathapuram
Sayalkudi,623523,Ramanathapuram
Rajasingamangalam,623528,Ramanathapuram
Salem,636001,Salem
Attur,636102,Salem
Mettur,636401,Salem
Edappadi,637101,Salem
Sankari,637301,Salem
Omalur,636455,Salem
Tharamangalam,636502,Salem
Yercaud,636601,Salem
Valapady,636115,Salem
Panamarathupatti,636204,Salem
Sivaganga,630561,Sivaganga
Karaikudi,630001,Sivaganga
Manamadurai,630606,Sivaganga
Devakottai,630302,Sivaganga
Ilayangudi,630702,Sivaganga
Sakkottai,630110,Sivaganga
Thiruppuvanam,630611,Sivaganga
Kalaiyarkovil,630551,Sivaganga
Kannangudi,630108,Sivaganga
Thirupathur,630212,Sivaganga
Thanjavur,613001,Thanjavur
Kumbakonam,612001,Thanjavur
Pattukkottai,614601,Thanjavur
Thiruvaiyaru,613204,Thanjavur
Peravurani,614804,Thanjavur
Orathanadu,614625,Thanjavur
Budalur,613601,Thanjavur
Vallam,613403,Thanjavur
Papanasam,614205,Thanjavur
Thiruvidaimarudur,612104,Thanjavur
Theni,625531,Theni
Bodinayakanur,625513,Theni
Periyakulam,625601,Theni
Andipatti,625512,Theni
Cumbum,625516,Theni
Uthamapalayam,625533,Theni
Chinnamanur,625515,Theni
Gudalur,625518,Theni
Kambam,625516,Theni
Bodi,625513,Theni
Tiruchirappalli,620001,Tiruchirappalli
Lalgudi,621601,Tiruchirappalli
Musiri,621211,Tiruchirappalli
Manapparai,621306,Tiruchirappalli
Thuraiyur,621010,Tiruchirappalli
Thottiyam,621215,Tiruchirappalli
Marungapuri,621313,Tiruchirappalli
Thuvakudi,620015,Tiruchirappalli
Pullampadi,621107,Tiruchirappalli
Vengur,621715,Tiruchirappalli
Tirunelveli,627001,Tirunelveli
Tenkasi,627811,Tirunelveli
Ambasamudram,627401,Tirunelveli
Alangulam,627851,Tirunelveli
Nanguneri,627108,Tirunelveli
Sankarankovil,627756,Tirunelveli
Kadayanallur,627751,Tirunelveli
Valliyur,627117,Tirunelveli
Cheranmahadevi,627414,Tirunelveli
Palayamkottai,627002,Tirunelveli
Tiruvallur,602001,Tiruvallur
Avadi,600054,Tiruvallur
Thirumazhisai,600124,Tiruvallur
Gummidipoondi,601201,Tiruvallur
Ponneri,601204,Tiruvallur
Minjur,601203,Tiruvallur
Poonamallee,600056,Tiruvallur
Tiruttani,631209,Tiruvallur
Thiruninravur,602024,Tiruvallur
Thirumullaivoyal,600062,Tiruvallur
Tiruvannamalai,606601,Tiruvannamalai
Arani,632301,Tiruvannamalai
Chengam,606701,Tiruvannamalai
Polur,606803,Tiruvannamalai
Vandavasi,604408,Tiruvannamalai
Cheyyar,604407,Tiruvannamalai
Kilpennathur,632504,Tiruvannamalai
Chetpet,632702,Tiruvannamalai
Jamunamarathur,632509,Tiruvannamalai
Kalasapakkam,632508,Tiruvannamalai
Tiruvarur,610001,Tiruvarur
Mannargudi,614001,Tiruvarur
Nannilam,609307,Tiruvarur
Thiruthuraipoondi,614713,Tiruvarur
Muthupettai,614704,Tiruvarur
Kodavasal,612601,Tiruvarur
Needamangalam,614404,Tiruvarur
Valangaiman,612804,Tiruvarur
Kottur,609402,Tiruvarur
Koradacheri,609410,Tiruvarur
Thoothukudi,628001,Tuticorin Thoothukudi
Kovilpatti,628501,Tuticorin Thoothukudi
Kayatharu,628903,Tuticorin Thoothukudi
Ettayapuram,628902,Tuticorin Thoothukudi
Ottapidaram,628401,Tuticorin Thoothukudi
Vilathikulam,628907,Tuticorin Thoothukudi
Sathankulam,628704,Tuticorin Thoothukudi
Kulasekaram,628905,Tuticorin Thoothukudi
Kalugumalai,628252,Tuticorin Thoothukudi
Udangudi,628203,Tuticorin Thoothukudi
Vellore,632001,Vellore
Arcot,632503,Vellore
Vaniyambadi,635751,Vellore
Ambur,635802,Vellore
Gudiyatham,632602,Vellore
Katpadi,632007,Vellore
Walajapet,632513,Vellore
Arakkonam,631001,Vellore
Ranipet,632401,Vellore
Tirupattur,635601,Vellore
Villupuram,605602,Villupuram
Tindivanam,604001,Villupuram
Kallakkurichi,606202,Villupuram
Gingee,604151,Villupuram
Ulundurpet,606107,Villupuram
Sankarapuram,606401,Villupuram
Vikravandi,605652,Villupuram
Panruti,607106,Villupuram
Marakkanam,604303,Villupuram
Vanur,605109,Villupuram
Virudhunagar,626001,Virudhunagar
Sivakasi,626123,Virudhunagar
Aruppukkottai,626101,Virudhunagar
Rajapalayam,626117,Virudhunagar
Srivilliputhur,626125,Virudhunagar
Kariapatti,626106,Virudhunagar
Sattur,626203,Virudhunagar
Vembakottai,626108,Virudhunagar
Kovilpatti,628501,Virudhunagar
Tiruchuli,626129,Virudhunagar
Vembakottai,626111,Virudhunagar
Watrap,626136,Virudhunagar
